name;street;house_number;zip_code;city;collection_foci
Altes Schützenhaus;Schießstättenstraße;17;4470;Enns;Volkskunde, Alltagskultur
Anton-Bruckner-Museum;Augustinerstraße;3;4052;Ansfelden;Musik, Personen
Ars Electronica Center;Ars-Electronica-Straße;1;4040;Linz;Sonstige, Kunst, Naturwissenschaft, Technik, Technikgeschichte
Augustiner Chorherrenstift St. Florian;Stiftstraße;1;4490;St. Florian;Geschichte, Musik, Literatur, Kunst, Kunstgewerbe, Personen
Basilika Enns-St. Laurenz;Lauriacumstraße;4;4470;Enns;Archäologie, Geschichte, Religion, Personen
Biologiezentrum Linz;J.-W.-Klein-Straße;73;4040;Linz;Natur, Naturwissenschaft
Cowboy-Museum Fatsy;Traundorfer Straße;266;4030;Linz/Pichling;Völkerkunde
Florianerbahn;Leopold-Kotzmann-Straße;14;4490;St. Florian;Verkehr, Technik, Technikgeschichte
Francisco Carolinum Linz;Museumstraße;14;4010;Linz;Kunst
Freilichtmuseum Sumerauerhof;Samesleiten;15;4490;St. Florian;Landwirtschaft, Volkskunde, Alltagskultur
Geschichteclub Stahl;Stahlstraße;33;4020;Linz;Geschichte, Industrie, Industriegeschichte, Technik, Technikgeschichte
Heimatstube Neuhofen an der Krems;Kirchenplatz;3;4501;Neuhofen an der Krems;Archäologie, Geschichte, Gewerbe, Handwerk, Volkskunde, Alltagskultur, Personen
Kronstorfer Brucknerzimmer;Brucknerplatz;4;4484;Kronstorf;Musik, Personen
Lentos Kunstmuseum Linz;Ernst-Koref-Promenade;1;4020;Linz;Kunst
Museum im Steinhumergut;Neubauerstraße;75;4050;Traun;Geschichte, Gewerbe, Handwerk, Industrie, Industriegeschichte, Landwirtschaft, Volkskunde, Alltagskultur
Museum Lauriacum;Hauptplatz;19;4470;Enns;Archäologie, Geschichte, Volkskunde, Alltagskultur
Nordico Stadtmuseum Linz;Dametzstraße;23;4020;Linz;Archäologie, Geschichte, Zeitgeschichte, Volkskunde, Alltagskultur, Kunst, Kunstgewerbe, Natur
OÖ. Feuerwehrmuseum St. Florian;Stiftstraße;2;4490;St. Florian;Geschichte, Verkehr, Feuerwehr, Technik, Technikgeschichte, Rettungswesen
OÖ. Jagdmuseum;Schloss Hohenbrunn, Hohenbrunn;1;4490;St. Florian;Sonstige, Kunstgewerbe, Natur
Oö. Landesbibliothek - Schatzkammer;Schillerplatz;2;4021;Linz;Literatur
OÖ. Literaturmuseum im StifterHaus;Adalbert-Stifter-Platz;1;4020;Linz;Literatur, Personen
Österreichisches Sattlermuseum;Ipfmühlstraße;15;4492;Hofkirchen im Traunkreis;Handwerk
PANEUM Wunderkammer des Brotes;Kornspitzstraße;1;4481;Asten;Handwerk, Handel, Landwirtschaft, Volkskunde, Alltagskultur, Kunst, Natur
Schloss Traun;Schlossstraße;8;4050;Traun;Archäologie, Geschichte, Volkskunde, Alltagskultur, Personen
Schlossmuseum Linz;Schlossberg;1;4020;Linz;Geschichte, Verkehr, Transport, Musik, Militaria, Religion, Zeitgeschichte, Handwerk, Handel, Industrie, Industriegeschichte, Volkskunde, Alltagskultur, Kunst, Kunstgewerbe, Natur, Naturwissenschaft, Technik, Technikgeschichte, Personen
Stiftsmuseum Wilhering;Linzer Straße;4;4073;Wilhering;Geschichte, Musik, Religion, Kunst
TURM 9 - Stadtmuseum Leonding;Daffingerstraße;55;4060;Leonding;Archäologie, Geschichte, Gewerbe, Militaria, Zeitgeschichte, Handwerk, Handel, Landwirtschaft, Volkskunde, Alltagskultur, Natur
voestalpine Stahlwelt;voestalpine-Straße;4;4020;Linz;Industrie, Industriegeschichte, Technik, Technikgeschichte
Wenschitz Pralinenwelt;Allhaming;47;4511;Allhaming;Sonstige, Handwerk, Handel, Völkerkunde
Zahnmuseum Linz;Pfarrgasse;9;4020;Linz;Gesundheit
Zeitgeschichte MUSEUM voestalpine;voestalpine-Straße;1;4020;Linz;Geschichte, Zeitgeschichte, Industrie, Industriegeschichte
Zweierschützen Archiv;Schloss Ebelsberg, Schlossweg;7;4030;Linz;Geschichte, Militaria
